trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0,25,0,42.4725732000079,,42.46148060000269,42.4725732000079,43.47238410000864,43.47238410000864,44.40795920000528,0,up,1,0.9305211000028066,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
26,0,26,0,44.4223658000119,,44.41062460000103,44.4223658000119,45.42217730000266,45.42217730000266,46.32411400000274,0,down,0,0.8904361000022618,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
27,0,27,0,46.33871320000617,,46.32644450000953,46.33871320000617,47.3388743000105,47.3388743000105,48.25746180000715,4,down,1,0.9155099000054179,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
28,0,28,0,48.27149270000518,,48.260395200006315,48.27149270000518,49.27140190001228,49.27140190001228,49.85761950000597,-5,down,1,0.5822748000064166,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
29,0,29,0,49.871082300000126,,49.86039650000748,49.871082300000126,50.87142770001083,50.87142770001083,51.67264060000889,0,up,1,0.796830699997372,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
30,0,30,0,51.68750870000804,,51.67661420001241,51.68750870000804,52.68741460000456,52.68741460000456,53.37093230000755,0,down,0,0.6676054999988992,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
31,0,31,0,53.38687950000167,,53.37232340000628,53.38687950000167,54.38712790000136,54.38712790000136,55.121711600004346,0,up,1,0.7259434000006877,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
32,0,32,0,55.136970300009125,,55.12377540000307,55.136970300009125,56.137173300012364,56.137173300012364,56.956580100013525,-4,down,1,0.8072410000022501,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
33,0,33,0,56.96973180001078,,56.95956770000339,56.96973180001078,57.96930790001352,57.96930790001352,58.55485730001237,3,down,1,0.580850799990003,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
34,0,34,0,58.5692538000003,,58.55762330000289,58.5692538000003,59.56914430001052,59.56914430001052,60.43758200001321,0,down,0,0.8589417000039248,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
35,0,35,0,60.45223970001098,,60.44035580000491,60.45223970001098,61.45250570001372,61.45250570001372,62.0048616000131,2,down,1,0.5372764999920037,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
36,0,36,0,62.01879710001231,,62.00748320001003,62.01879710001231,63.018805800005794,63.018805800005794,63.43790370000352,-2,up,0,0.4092887000006158,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
37,0,37,0,63.45165010000346,,63.44114660000196,63.45165010000346,64.4517143000121,64.4517143000121,65.02030410000589,4,down,1,0.5651215999969281,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
38,0,38,0,65.03472140000667,,65.02305590000469,65.03472140000667,66.03494800000044,66.03494800000044,66.4696549000073,0,down,0,0.4177720000006957,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
39,0,39,0,66.48431370001344,,66.47303269999975,66.48431370001344,67.48432130001311,67.48432130001311,68.51886750000995,-2,down,1,1.0284932999929879,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
40,0,40,0,68.5339712999994,,68.52131580001151,68.5339712999994,69.53391310000734,69.53391310000734,70.16915300000983,2,down,1,0.6212473000050522,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
41,0,41,0,70.1835737000074,,70.17256130000169,70.1835737000074,71.18361050001113,71.18361050001113,71.33552880000207,4,down,1,0.13862670000526123,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
42,0,42,0,71.3498174000124,,71.33809770000516,71.3498174000124,72.3500350000104,72.3500350000104,72.85126830000081,3,down,1,0.4952590000029886,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
43,0,43,0,72.86624170000141,,72.85369630000787,72.86624170000141,73.86622550000902,73.86622550000902,74.25225550000323,4,down,1,0.382733599995845,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
44,0,44,0,74.26598390001163,,74.25485460000345,74.26598390001163,75.26587580000341,75.26587580000341,75.68464490000042,0,up,1,0.4130626999976812,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
45,0,45,0,75.69892310000432,,75.6873454000015,75.69892310000432,76.69919760001358,76.69919760001358,77.41881170000124,-4,down,1,0.7078048999974271,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
46,0,46,0,77.43203900000663,,77.42174210000667,77.43203900000663,78.43202700000256,78.43202700000256,78.93436870000733,0,down,0,0.5002893999917433,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
47,0,47,0,78.94838390000223,,78.93715240000165,78.94838390000223,79.94847149999987,79.94847149999987,80.5002930000046,0,up,1,0.5458961999975145,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
48,0,48,0,80.51466580000124,,80.50257799999963,80.51466580000124,81.51480850001099,81.51480850001099,81.8500602000131,-5,up,0,0.3235236999898916,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
49,0,49,0,81.8645269000117,,81.85234430000128,81.8645269000117,82.86469030000444,82.86469030000444,83.28251670001191,0,up,1,0.41185289999702945,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
50,0,50,0,83.29732030000014,,83.28492370000458,83.29732030000014,84.29771760001313,84.29771760001313,84.88315490000241,4,down,1,0.5778243000095244,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
51,0,51,0,84.89704300000449,,84.88607600000978,84.89704300000449,85.8967149000091,85.8967149000091,86.4830198000127,3,down,1,0.5789392000006046,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
52,0,52,0,86.49685370000952,,86.48604840000917,86.49685370000952,87.4970011000114,87.4970011000114,87.99917120000464,-4,down,1,0.49817479999910574,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
53,0,53,0,88.01299350000045,,88.0018248000124,88.01299350000045,89.01305820001289,89.01305820001289,89.43159530000412,0,up,1,0.41371070001332555,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
54,0,54,0,89.4461980000051,,89.43431010001223,89.4461980000051,90.44612570000754,90.44612570000754,91.2154726000008,2,down,1,0.759826499997871,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
55,0,55,0,91.22897360000934,,91.21820040000603,91.22897360000934,92.22901390001061,92.22901390001061,92.81442940000852,-2,up,0,0.5766991999989841,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
56,0,56,0,92.82875590000185,,92.81722480000462,92.82875590000185,93.82892230000289,93.82892230000289,94.48120530000597,1,up,0,0.6423387999966508,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
57,0,57,0,94.49519330001203,,94.48375490000763,94.49519330001203,95.49535280000418,95.49535280000418,95.89670260000275,0,up,1,0.3919638999941526,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
58,0,58,0,95.91124739999941,,95.89944960000867,95.91124739999941,96.91138499999943,96.91138499999943,97.24526320000587,0,up,1,0.3327534999989439,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
59,0,59,0,97.26124870000058,,97.24672060000012,97.26124870000058,98.26114330001292,98.26114330001292,99.04733240000496,0,up,0,0.7708445000025677,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
60,0,60,0,99.0609095000109,,99.05010410000978,99.0609095000109,100.06032650000998,100.06032650000998,100.94631280000613,0,up,1,0.8715184000029694,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
